13,0Z0-07-000012,Spire fil carre acier 7x7 Ø ext 85 pas 65 G (100FCA),,,100 FCA_7X7,,"1,51"
11,0Z0-07-000010,Spire fil carré acier 10x10 Øext85 pas 65G (100 FCRA),,,100 FCRA,,"2,98"
24,0Z0-07-000024,Spire fil plat inox 12x4.5 Ø ext 90 pas 65 G (100FPI),,,100 FPI_12X4.5,,"1,67"
29,0Z0-07-000029,Spire fil rond acier Ø10 Øext 85 pas 65 G (100FRA),,,100 FRRA_Ø10,,"2,34"
32,0Z0-07-000032,Spire fil rond acier Ø4.5 Øext.28 pas 25 D (30FRA),,,30 FRA_Ø4.5,,"0,391"
42,0Z0-07-000042,Spire fil rond inox Ø4.5 Øext.28 pas 25 D (30FRI),,,30 FRI_Ø4.5,,"0,389"
12,0Z0-07-000011,Spire fil carre acier 5x5 Ø ext.34 pas 30D (39FCA),,,39 FCA_5X5,,"0,631"
14,0Z0-07-000013,Spire fil carre acier 7x7 Ø ext.38 pas 30D (39FCRA),,,39 FCRA_7X7,,"1,31"
21,0Z0-07-000020,Spire fil plat acier 8x3 Ø ext.34 pas 30D (39FPA) - Remplcé par FPI,,,39 FPA_8X3,,"0,55"
33,0Z0-07-000033,Spire fil rond acier Ø5 Øext.34 pas 30D (39FRA),,,39 FRA_Ø5,,"0,493"
43,0Z0-07-000043,Spire fil rond inox Ø5 Øext.34 pas 30D (39FRI),,,39 FRI_Ø5,,"0,493"
35,0Z0-07-000035,Spire fil rond acier Ø7 Øext.38 pas 30G (39FRRA),,,39 FRRA_Ø7,,"1,03"
26,0Z0-07-000026,Spire fil plat inox 8x3 Ø ext.34 pas 30D (39FPI),,,39FPI,,"0,55"
15,0Z0-07-000014,Spire fil carre acier 7x7 Ø ext.46 pas 40D - ANGLE 2-5° (53FCA),,,53 FCA_7X7,,"1,25"
64,0Z0-07-000064,Spire fil carre inox 7x7 Ø ext.46 pas 40D (53FCI),,,53 FCI_7X7,,"1,24"
22,0Z0-07-000021,Spire fil plat acier 8x3 Ø ext.43 pas 37D (53FPA) Sera remplacé par FPI à rupture stock acier,,,53 FPA_8x3,,"0,595"
27,0Z0-07-000027,Spire fil plat inox 8x3 Ø ext.43 pas 37D (53FPI),,,53 FPI_8x3,,"0,6"
34,0Z0-07-000034,Spire fil rond acier Ø5.5 Ø ext.43 pas 40D (53FRA),,,53 FRA_Ø5.5,,"0,58"
44,0Z0-07-000044,Spire fil rond inox Ø5.5 Øext.43 pas 40D (53FRI),,,53 FRI_Ø5.5,,"0,58"
36,0Z0-07-000036,Spire fil rond acier Ø7 Øext.43 pas 40D (53FRRA),,,53 FRRA_Ø7,,"0,905"
16,0Z0-07-000015,Spire fil carre acier 7x7 Ø ext.58 pas 45G (70FCA),,,70 FCA_7X7,,"1,43"
61,0Z0-07-000061,Spire fil carre acier 10x10 Ø ext.60 pas 45G (70 FCRA_10X10),,,70 FCRA_10X10,,"2,87"
20,0Z0-07-000019,Spire fil plat acier 12X4.5 Ø ext.58 pas 45G (70FPA),,,70 FPA_12X4.5,,"1,44"
25,0Z0-07-000025,Spire fil plat inox 12X4.5 Ø ext.58 pas 45G (70FPI),,,70 FPI_12X4.5,,"1,45"
45,0Z0-07-000045,Spire fil rond inox Ø6.5 Øext.58 pas 45G (70FRI),,,70 FRI_Ø6.5,,"0,972"
28,0Z0-07-000028,Spire fil rond acier Ø10 ext.58 pas 45G (70FRRAØ10),,,70 FRRA_Ø10,,"2,17"
38,0Z0-07-000038,Spire fil rond acier Ø8 Øext.58 pas 45G (70FRRAØ8),,,70 FRRA_Ø8,,"1,43"
39,0Z0-07-000039,Spire fil rond inox Ø10 Øext.58 pas 45G (70FRRI),,,70 FRRI_Ø10,,"2,16"
48,0Z0-07-000048,Spire fil rond Inox Ø8 Øext.58 pas 45G (70FRRIØ8),,,70 FRRI_Ø8,,"1,43"
17,0Z0-07-000016,Spire fil carre acier 7X7 Ø ext.70.5 pas 55G (80FCA),,,80 FCA_7X7,,"1,46"
62,0Z0-07-000062,Spire fil carre acier 10x10 Ø ext.70 pas 55G (80 FCRA_10X10),,,80 FCRA_10X10,,"2,83"
23,0Z0-07-000023,Spire fil plat inox 12x4.5 Ø ext 70.5 pas 65 G (80FPI),,,80 FPI_12X4.5,,"1,3"
37,0Z0-07-000037,Spire fil rond acier Ø7 Øext.70.5 pas 65G (80FRA),,,80 FRA_Ø7,,"0,975"
46,0Z0-07-000046,Spire fil rond inox Ø7 Øext.70.5 pas 65G (80FRI),,,80 FRI_Ø7,,"0,975"
30,0Z0-07-000030,Spire fil rond acier Ø10 Øext.70 pas 55G (80FRRA),,,80 FRRA_Ø10,,"2,22"
40,0Z0-07-000040,Spire fil rond inox Ø10 Øext.70 pas 55G (80FRRI),,,80 FRRI_Ø10,,"2,2"
19,0Z0-07-000018,Spire fil plat acier 12x4.5 Ø ext 70.5 pas 65 G (80FPA),,,80FPA_12X4.5,,"1,29"
N°,Nº article,Description article,,,Nº catalogue fournisseur,,POIDS
